FISCAL_YR,FISCAL_MO,Segment_Channel,investment
2017,4,NTB_Omni,78.06371357
2017,4,Existing_Retail1,383.216357
2017,4,Existing_Direct1,1493.350151
2017,4,Existing_Omni,164.3235335
2017,4,React_Retail1,169.9189532
2017,4,React_Direct1,662.1546541
2017,4,React_Omni,28.21404432
2017,5,NTB_Retail1,499.1386194
2017,5,NTB_Direct1,2369.720528
2017,5,NTB_Omni,126.6533818
2017,5,Existing_Retail1,446.8752853
2017,5,Existing_Direct1,2121.594074
2017,5,Existing_Omni,267.0755098
2017,5,React_Retail1,163.8024963
2017,5,React_Direct1,777.6720192
2017,5,React_Omni,34.85559598
2017,6,NTB_Retail1,166.644232
2017,6,NTB_Direct1,971.872607
2017,6,NTB_Omni,35.44896972
2017,6,Existing_Retail1,294.9423942
2017,6,Existing_Direct1,1720.110142
2017,6,Existing_Omni,182.3618316
2017,6,React_Retail1,74.42503066
2017,6,React_Direct1,434.0483177
2017,6,React_Omni,14.26159554
2017,7,NTB_Retail1,204.1229495
2017,7,NTB_Direct1,1096.950204
2017,7,NTB_Omni,39.37499511
2017,7,Existing_Retail1,330.8263568
2017,7,Existing_Direct1,1777.850263
2017,7,Existing_Omni,170.5112985
2017,7,React_Retail1,108.3457899
2017,7,React_Direct1,582.2468106
2017,7,React_Omni,14.70201311
2017,8,NTB_Retail1,464.18
2017,8,NTB_Direct1,2079.52
2017,8,NTB_Omni,82.58
2017,8,Existing_Retail1,396.03
2017,8,Existing_Direct1,1774.209847
2017,8,Existing_Omni,202.28
2017,8,React_Retail1,205.65
2017,8,React_Direct1,921.3
2017,8,React_Omni,31.4
2017,9,NTB_Retail1,393.74
2017,9,NTB_Direct1,2010.627955
2017,9,NTB_Omni,74.18
2017,9,Existing_Retail1,420.95
2017,9,Existing_Direct1,2149.560776
2017,9,Existing_Omni,206.07
2017,9,React_Retail1,182.45
2017,9,React_Direct1,931.69
2017,9,React_Omni,28.34
2017,10,NTB_Retail1,570.4378861
2017,10,NTB_Direct1,2300.199184
2017,10,NTB_Omni,81.33598458
2017,10,Existing_Retail1,533.7012141
2017,10,Existing_Direct1,2152.064453
2017,10,Existing_Omni,251.5403211
2017,10,React_Retail1,256.36853
2017,10,React_Direct1,1033.764934
2017,10,React_Omni,22.04463379
2017,11,NTB_Retail1,359.4503337
2017,11,NTB_Direct1,1959.608509
2017,11,NTB_Omni,63.85443377
2017,11,Existing_Retail1,456.0429745
2017,11,Existing_Direct1,2486.200762
2017,11,Existing_Omni,320.1015291
2017,11,React_Retail1,184.8655786
2017,11,React_Direct1,1007.828139
2017,11,React_Omni,24.12903054
2017,12,NTB_Retail1,112.6944703
2017,12,NTB_Direct1,665.8888921
2017,12,NTB_Omni,20.11708022
2017,12,Existing_Retail1,303.0260295
2017,12,Existing_Direct1,1790.519681
2017,12,Existing_Omni,170.729478
2017,12,React_Retail1,60.62991996
2017,12,React_Direct1,358.2499667
2017,12,React_Omni,12.59097224
2018,1,NTB_Retail1,255.7252806
2018,1,NTB_Direct1,1047.460629
2018,1,NTB_Omni,32.13324346
2018,1,Existing_Retail1,409.9696294
2018,1,Existing_Direct1,1679.251441
2018,1,Existing_Omni,149.2726759
2018,1,React_Retail1,128.1582772
2018,1,React_Direct1,524.9412547
2018,1,React_Omni,11.01617948
2018,2,NTB_Retail1,558.3514774
2018,2,NTB_Direct1,1923.673095
2018,2,NTB_Omni,87.89834538
2018,2,Existing_Retail1,662.9124119
2018,2,Existing_Direct1,2283.914027
2018,2,Existing_Omni,309.1108731
2018,2,React_Retail1,205.6297507
2018,2,React_Direct1,708.4505641
2018,2,React_Omni,29.31488643
2018,3,NTB_Retail1,529.6685057
2018,3,NTB_Direct1,2291.851799
2018,3,NTB_Omni,87.69881966
2018,3,Existing_Retail1,447.6765665
2018,3,Existing_Direct1,1937.076366
2018,3,Existing_Omni,209.4892375
2018,3,React_Retail1,153.8498062
2018,3,React_Direct1,665.701191
2018,3,React_Omni,25.88702363
2018,4,NTB_Retail1,554.9706981
2018,4,NTB_Direct1,2162.657101
2018,4,NTB_Omni,92.54059229
2018,4,Existing_Retail1,470.9538466
2018,4,Existing_Direct1,1835.253076
2018,4,Existing_Omni,201.9454514
2018,4,React_Retail1,192.8425649
2018,4,React_Direct1,751.4853375
2018,4,React_Omni,28.21404432
2018,5,NTB_Retail1,310.4201301
2018,5,NTB_Direct1,1473.756841
2018,5,NTB_Omni,78.76721565
2018,5,Existing_Retail1,386.7476943
2018,5,Existing_Direct1,1836.131116
2018,5,Existing_Omni,231.1401884
2018,5,React_Retail1,108.1076116
2018,5,React_Direct1,513.2538668
2018,5,React_Omni,34.85559598
2018,6,NTB_Retail1,124.1646986
2018,6,NTB_Direct1,724.1310898
2018,6,NTB_Omni,26.41261919
2018,6,Existing_Retail1,300.5196838
2018,6,Existing_Direct1,1752.63701
2018,6,Existing_Omni,185.8102498
2018,6,React_Retail1,89.7640606
2018,6,React_Direct1,523.5058575
2018,6,React_Omni,14.26159554
2018,7,NTB_Retail1,219.9356282
2018,7,NTB_Direct1,1181.927034
2018,7,NTB_Omni,42.42523591
2018,7,Existing_Retail1,394.6827641
2018,7,Existing_Direct1,2121.012554
2018,7,Existing_Omni,203.423546
2018,7,React_Retail1,136.3557098
2018,7,React_Direct1,732.7712242
2018,7,React_Omni,14.70201311
2018,8,NTB_Retail1,454.7527339
2018,8,NTB_Direct1,2037.265778
2018,8,NTB_Omni,80.899195
2018,8,Existing_Retail1,442.4164049
2018,8,Existing_Direct1,1981.999743
2018,8,Existing_Omni,225.974056
2018,8,React_Retail1,213.5706853
2018,8,React_Direct1,956.784239
2018,8,React_Omni,31.39995082
2018,9,NTB_Retail1,479.1475087
2018,9,NTB_Direct1,2446.742213
2018,9,NTB_Omni,90.27107618
2018,9,Existing_Retail1,403.8465337
2018,9,Existing_Direct1,2062.221641
2018,9,Existing_Omni,197.7011554
2018,9,React_Retail1,209.2716091
2018,9,React_Direct1,1068.634754
2018,9,React_Omni,28.33863833
2018,10,NTB_Retail1,509.8228452
2018,10,NTB_Direct1,2055.778764
2018,10,NTB_Omni,72.6931785
2018,10,Existing_Retail1,566.604633
2018,10,Existing_Direct1,2284.742206
